f,Suu,Svv,Sww
0.0,0.0,0.0,0.0
0.0002,0.00010903801205983876,1.988134922857545e-05,5.685284127902772e-06
0.0004,0.00023258527950863154,3.379607764364217e-05,1.3362232007019577e-05
0.0006,0.00036645979704120807,3.770844459316649e-05,2.302677141264425e-05
0.0008,0.0003493747975332891,9.207527055375625e-05,1.775237697420439e-05
0.001,0.00031895197705252134,2.783502122083638e-05,2.1220474560203793e-05
0.0012,0.00033631985974308685,3.642960212817491e-05,3.210912524555055e-05
0.0014,0.0028809912097026258,0.0006282156802447207,7.853552386193493e-05
0.0016,0.0006436133878832732,0.0001464851198733088,4.3657266169262926e-05
0.0018,0.0014679519920670575,0.0002378169924885745,6.115768185788484e-05
0.002,0.00035358808837177735,0.0001040547398434807,4.1274728028539884e-05
0.0022,0.000406856345984472,0.00013688615627248542,3.287541401215563e-05
0.0024,0.00046792560916622105,8.912880410283958e-05,4.1066392699790705e-05
0.0026,0.0004957152672957429,0.00011515954030506641,5.129119119049167e-05
0.0028,0.00036840523756387106,9.157311804697242e-05,5.8523122765492395e-05
0.003,0.0005969222457019208,0.00013466185439293252,8.979711958692135e-05
0.0032,0.0005637899386107474,0.00011442491061732167,5.897708487949297e-05
0.0034,0.0005662253026782215,0.00014766393085304327,7.718218006982383e-05
0.0036,0.000366887514031154,0.00013066753636643735,5.195090716382183e-05
0.0038,0.0004500935899549487,0.00017065163285078793,7.327044210921124e-05
0.004,0.000537573299481563,0.00013860782408498583,8.003690235938137e-05
0.0042,0.0004270957744140427,8.1957094270296e-05,6.763919643706656e-05
0.0044,0.0006136758186919401,0.00018630761376886733,8.296856201292902e-05
0.0046,0.0004326881055379288,0.00019920542785758206,6.382432556573762e-05
0.0048,0.00035568430003040855,0.0001391722915828916,6.434818226055161e-05
0.005,0.00047259014769217116,0.00018102586923432107,8.637286922138956e-05
0.0052,0.0005719996910860637,0.00013097642281934192,8.793907099141927e-05
0.0054,0.000416387797660782,0.00017950405105397814,7.950395633513645e-05
0.0056,0.0005754064991691115,0.00021171860198920155,8.804692087144429e-05
0.0058,0.0005444282715869612,0.00018567460077125613,0.00010121148521962788
0.006,0.00046098691548750165,0.00024294227242132032,0.00011872251726361941
0.0062,0.00042569974859599187,0.00016523537211983862,7.391539945822369e-05
0.0064,0.0005158138430880934,0.00015698418401878514,0.00013120777728988623
0.0066,0.000527021267699019,0.00024355532695146908,0.00014986287612992323
0.0068,0.0007125849477403413,0.00025780089987990646,0.00012551903691969572
0.007,0.0006165660505287798,0.00021807139380787972,0.00010011524636909243
0.0072,0.00047488535544516216,0.00015821094599842474,0.00011571499251925294
0.0074,0.0004442299577176561,0.00021713514646269598,8.723189405993583e-05
0.0076,0.0005487961115786359,0.00019108733883530142,0.0001363049954148922
0.0078,0.0006486121083238199,0.00024041579000158467,0.00010317802907949651
0.008,0.0005346828490320599,0.000215453446900048,0.00010348665663794236
0.0082,0.00034096977410284936,0.00025512142842877377,0.00011292045072180083
0.0084,0.000533801104901282,0.0002225029570852226,0.00010544870248572748
0.0086,0.00043796707236200874,0.00031268983940578116,0.00010931061733444785
0.0088,0.0007097228455395291,0.0002460392465395209,0.0001462168558437689
0.009,0.0006872941558715187,0.00026385697095037064,0.00013280031851121838
0.0092,0.0004919839100060411,0.00031041030796298525,0.00010897094414172374
0.0094,0.0005286307434267036,0.00023499408899032277,0.00010651045743489086
0.0096,0.0005012151958149391,0.00028359516717770965,0.00016428116682635016
0.0098,0.0005678705187119285,0.00026838522951420235,0.00016096449062287795
0.01,0.0005340970020180858,0.00023128162296336894,0.00010231745580211995
0.0102,0.0008891297163443108,0.00026003414181149936,0.00018820134909458707
0.0104,0.0006088713888580262,0.0002825632006342988,0.0001396393487372849
0.0106,0.0005430738333425406,0.0004001803082415195,0.0001258448080160926
0.0108,0.0004503536013039067,0.0003987338175229982,0.00015246457011344058
0.011,0.0006336528286622821,0.0003391128054070064,0.00013483060638928097
0.0112,0.000503395764803588,0.00030736929075948316,0.0001582413773676454
0.0114,0.0005616259135265106,0.00029894060393852536,0.0001054005501411971
0.0116,0.000564527083940995,0.000306870679572948,0.00016510185989008578
0.0118,0.0007436121418873934,0.00028755828872963107,0.00013143919675569142
0.012,0.0005146650288873851,0.00042696345687969715,0.00012254270665241357
0.0122,0.0006713450413513891,0.0003144263190446516,0.00015873663360610606
0.0124,0.0007621897218176155,0.0003157130402303316,0.00014002609796161125
0.0126,0.000648638838786277,0.00034438338242933297,0.00016898522578358196
0.0128,0.00046214529772066574,0.00031554305357495496,0.00014979907846373588
0.013,0.0005091253269519765,0.0002928992559185822,0.00014051659898588285
0.0132,0.0006092880701677563,0.0004857655354694919,0.00018424506013479887
0.0134,0.000594501967139792,0.00020966846279041568,0.00019402025840203213
0.0136,0.0005803954133930011,0.00020320400538801955,0.0001549921864683206
0.0138,0.0006804810140938867,0.00027186867151812434,0.00014730474271224962
0.014,0.0005937847618648614,0.00039471930036952735,0.00015286732025238787
0.0142,0.0005153366850356436,0.0002404420045111315,0.00018704821419412198
